+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                             ;
+-----------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; ram_ctrl_axi_arbiter                                                                                                              ; 165   ; 5              ; 1            ; 5              ; 155    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dbus_axi_decoder|errorSlave                                                                                                       ; 94    ; 36             ; 78           ; 36             ; 41     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dbus_axi_decoder                                                                                                                  ; 217   ; 20             ; 0            ; 20             ; 317    ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; axi4ReadOnlyDecoder_1|errorSlave                                                                                                  ; 53    ; 34             ; 41           ; 34             ; 37     ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; axi4ReadOnlyDecoder_1                                                                                                             ; 127   ; 20             ; 0            ; 20             ; 139    ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; apbBridge                                                                                                                         ; 104   ; 3              ; 14           ; 3              ; 90     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; internalRam|ram|internal_ram|altsyncram_component|auto_generated                                                                  ; 51    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; internalRam|ram|internal_ram                                                                                                      ; 51    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; internalRam|ram                                                                                                                   ; 51    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; internalRam                                                                                                                       ; 72    ; 4              ; 2            ; 4              ; 43     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vexRiscv_1|dataCache_1                                                                                                            ; 376   ; 3              ; 221          ; 3              ; 120    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vexRiscv_1|IBusCachedPlugin_cache                                                                                                 ; 346   ; 10             ; 222          ; 10             ; 169    ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vexRiscv_1                                                                                                                        ; 76    ; 3              ; 0            ; 3              ; 111    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|io_dqs|ddr_io2_inst|gpio_one_bit.i_loop[1].altgpio_bit_i                                                                 ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_dqs|ddr_io2_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                                                                 ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_dqs|ddr_io2_inst                                                                                                      ; 21    ; 13             ; 0            ; 13             ; 4      ; 13              ; 13            ; 13              ; 2     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|io_dqs                                                                                                                   ; 8     ; 2              ; 0            ; 2              ; 0      ; 2               ; 2             ; 2               ; 2     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|o_ck|ddr_o2_inst|gpio_one_bit.i_loop[1].altgpio_bit_i                                                                    ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|o_ck|ddr_o2_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                                                                    ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|o_ck|ddr_o2_inst                                                                                                         ; 21    ; 16             ; 0            ; 16             ; 2      ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|o_ck                                                                                                                     ; 5     ; 4              ; 0            ; 4              ; 2      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[7].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[6].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[5].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[4].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[3].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[2].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[1].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_h|ddr_io8_inst                                                                                                        ; 57    ; 31             ; 0            ; 31             ; 16     ; 31              ; 31            ; 31              ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|io_h                                                                                                                     ; 26    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[7].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[6].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[5].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[4].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[3].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[2].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[1].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                                                                   ; 12    ; 1              ; 6            ; 1              ; 4      ; 1               ; 1             ; 1               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; ram_ctrl|io_l|ddr_io8_inst                                                                                                        ; 57    ; 31             ; 0            ; 31             ; 16     ; 31              ; 31            ; 31              ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl|io_l                                                                                                                     ; 26    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; ram_ctrl                                                                                                                          ; 86    ; 0              ; 12           ; 0              ; 63     ; 0               ; 0             ; 0               ; 18    ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_apb_bridge                                                                                                             ; 81    ; 0              ; 0            ; 0              ; 79     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; apb3Router_2                                                                                                                      ; 149   ; 0              ; 1            ; 0              ; 171    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_apb_decoder                                                                                                            ; 79    ; 0              ; 0            ; 0              ; 81     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[3].u_dat_ddr|ddr_io1_inst|gpio_one_bit.i_loop[0].altgpio_bit_i ; 12    ; 3              ; 5            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[3].u_dat_ddr|ddr_io1_inst                                      ; 15    ; 10             ; 0            ; 10             ; 2      ; 10              ; 10            ; 10              ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[3].u_dat_ddr                                                   ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[2].u_dat_ddr|ddr_io1_inst|gpio_one_bit.i_loop[0].altgpio_bit_i ; 12    ; 3              ; 5            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[2].u_dat_ddr|ddr_io1_inst                                      ; 15    ; 10             ; 0            ; 10             ; 2      ; 10              ; 10            ; 10              ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[2].u_dat_ddr                                                   ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[1].u_dat_ddr|ddr_io1_inst|gpio_one_bit.i_loop[0].altgpio_bit_i ; 12    ; 3              ; 5            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[1].u_dat_ddr|ddr_io1_inst                                      ; 15    ; 10             ; 0            ; 10             ; 2      ; 10              ; 10            ; 10              ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[1].u_dat_ddr                                                   ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[0].u_dat_ddr|ddr_io1_inst|gpio_one_bit.i_loop[0].altgpio_bit_i ; 12    ; 3              ; 5            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[0].u_dat_ddr|ddr_io1_inst                                      ; 15    ; 10             ; 0            ; 10             ; 2      ; 10              ; 10            ; 10              ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.DRIVE_DDR_IO[0].u_dat_ddr                                                   ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.u_cmd_ddr|ddr_io1_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                 ; 12    ; 3              ; 5            ; 3              ; 4      ; 3               ; 3             ; 3               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.u_cmd_ddr|ddr_io1_inst                                                      ; 15    ; 10             ; 0            ; 10             ; 2      ; 10              ; 10            ; 10              ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.u_cmd_ddr                                                                   ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.u_clk_oddr|ddr_o1_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                 ; 12    ; 7              ; 5            ; 7              ; 4      ; 7               ; 7             ; 7               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.u_clk_oddr|ddr_o1_inst                                                      ; 15    ; 12             ; 0            ; 12             ; 1      ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend|GEN_IODDR_IO.u_clk_oddr                                                                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdfrontend                                                                                          ; 59    ; 49             ; 34           ; 49             ; 92     ; 49              ; 49            ; 49              ; 5     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_rxframe                                                                                      ; 69    ; 0              ; 33           ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_txframe                                                                                      ; 50    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_sdcmd                                                                                        ; 55    ; 4              ; 5            ; 4              ; 91     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_clkgen                                                                                       ; 12    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_b[0][7]__8|auto_generated                                                       ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_b[0][15]__7|auto_generated                                                      ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_b[0][23]__6|auto_generated                                                      ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_b[0][31]__5|auto_generated                                                      ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_a[0][7]__4|auto_generated                                                       ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_a[0][15]__3|auto_generated                                                      ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_a[0][23]__2|auto_generated                                                      ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control|fifo_a[0][31]__1|auto_generated                                                      ; 26    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio|u_control                                                                                      ; 191   ; 4              ; 0            ; 4              ; 149    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl|u_sdio                                                                                                ; 104   ; 0              ; 0            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl|impl                                                                                                       ; 45    ; 4              ; 0            ; 4              ; 35     ; 4               ; 4             ; 4               ; 5     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_sdcard_ctrl                                                                                                            ; 43    ; 0              ; 2            ; 0              ; 34     ; 0               ; 0             ; 0               ; 5     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_audio_ctrl|i2c                                                                                                         ; 13    ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_audio_ctrl                                                                                                             ; 40    ; 13             ; 5            ; 13             ; 35     ; 13              ; 13            ; 13              ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; peripheral_uart_ctrl                                                                                                              ; 42    ; 12             ; 15           ; 12             ; 34     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl|out_m|ddr_o4_inst|gpio_one_bit.i_loop[3].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_m|ddr_o4_inst|gpio_one_bit.i_loop[2].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_m|ddr_o4_inst|gpio_one_bit.i_loop[1].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_m|ddr_o4_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_m|ddr_o4_inst                                                                                                      ; 33    ; 24             ; 0            ; 24             ; 4      ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl|out_m                                                                                                                  ; 9     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl|out_p|ddr_o4_inst|gpio_one_bit.i_loop[3].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_p|ddr_o4_inst|gpio_one_bit.i_loop[2].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_p|ddr_o4_inst|gpio_one_bit.i_loop[1].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_p|ddr_o4_inst|gpio_one_bit.i_loop[0].altgpio_bit_i                                                                 ; 12    ; 5              ; 7            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; video_ctrl|out_p|ddr_o4_inst                                                                                                      ; 33    ; 24             ; 0            ; 24             ; 4      ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl|out_p                                                                                                                  ; 9     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl|encode_B                                                                                                               ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl|encode_G                                                                                                               ; 12    ; 2              ; 0            ; 2              ; 10     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl|encode_R                                                                                                               ; 12    ; 2              ; 0            ; 2              ; 10     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; video_ctrl                                                                                                                        ; 4     ; 2              ; 2            ; 2              ; 10     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; board_ctrl|pll|altpll_component|auto_generated                                                                                    ; 2     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; board_ctrl|pll                                                                                                                    ; 1     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; board_ctrl                                                                                                                        ; 51    ; 15             ; 39           ; 15             ; 44     ; 15              ; 15            ; 15              ; 2     ; 0              ; 0            ; 0                ; 0                 ;
+-----------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
